Apex Motors|333 Performance Parkway, Frisco, TX|469-888-4422
43276|2023|Porsche|911 Turbo S|car|Blue|7100|222800.00
14101|2022|BMW|M8 Gran Coupe|car|Blue|3900|115000.00
18424|2021|Lamborghini|Huracan EVO|car|Green|4300|317000.00
94787|2020|Ferrari|488 Pista|car|Red|6200|434900.00
41037|2022|McLaren|720S|car|Blue|2990|321000.00
88787|2023|Aston Martin|Vantage|car|Orange|8700|161500.00
76736|2021|Bentley|Flying Spur|sedan|Blue|11150|219900.00
91496|2020|Audi|R8 V10 Performance|car|Gray|16500|199500.00
99444|2023|Mercedes-Benz|AMG GT Black Series|car|Gray|1000|315000.00
11335|2021|Rolls-Royce|Wraith|car|Silver|20120|339995.00
29967|2018|Chevrolet|Corvette Z06|car|Blue|22400|67000.00
99465|2020|Jeep|Wrangler Rubicon 392|suv|Black|17500|78000.00
48350|2023|Land Rover|Defender X|suv|Silver|5200|107500.00
67893|2024|Porsche|911 GT3RS|car|Green|2304|200000.00
